##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ENCFF176RJQ.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	9357767
Sequences flagged as poor quality	0
Sequence length	36
%GC	47
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	24.55987769304365	32.0	14.0	33.0	2.0	33.0
2	24.05494206042959	30.0	18.0	33.0	2.0	34.0
3	24.213044842856206	31.0	18.0	33.0	2.0	34.0
4	24.103446260202887	31.0	18.0	33.0	2.0	34.0
5	23.873434014760146	30.0	17.0	33.0	2.0	34.0
6	23.65399630061317	30.0	16.0	33.0	2.0	34.0
7	23.60140896861399	30.0	16.0	33.0	2.0	34.0
8	23.423993779712617	30.0	15.0	33.0	2.0	34.0
9	23.363594220715264	30.0	15.0	33.0	2.0	34.0
10	23.32012947105864	30.0	15.0	33.0	2.0	34.0
11	23.213305909411936	30.0	14.0	33.0	2.0	34.0
12	23.170841184654417	30.0	13.0	33.0	2.0	34.0
13	23.01776118170072	30.0	12.0	33.0	2.0	34.0
14	22.942227884066785	30.0	12.0	33.0	2.0	34.0
15	22.861167413123237	30.0	11.0	33.0	2.0	34.0
16	22.708169801620407	29.0	10.0	33.0	2.0	34.0
17	22.533304045719454	29.0	9.0	33.0	2.0	34.0
18	22.439590983618206	29.0	9.0	33.0	2.0	34.0
19	22.354495361981122	29.0	8.0	33.0	2.0	34.0
20	22.246107217672762	29.0	8.0	33.0	2.0	34.0
21	22.146210842821798	29.0	7.0	33.0	2.0	34.0
22	22.08886810282838	29.0	7.0	33.0	2.0	34.0
23	21.982726220902915	29.0	6.0	33.0	2.0	34.0
24	21.772636249652294	28.0	6.0	33.0	2.0	34.0
25	21.686944545637864	28.0	5.0	33.0	2.0	34.0
26	21.557235823460875	28.0	4.0	33.0	2.0	34.0
27	21.355195849608137	27.0	2.0	33.0	2.0	33.0
28	21.325024549125875	27.0	2.0	33.0	2.0	34.0
29	21.221925059685713	27.0	2.0	33.0	2.0	34.0
30	21.066520463696094	27.0	2.0	33.0	2.0	33.0
31	20.894820847751394	27.0	2.0	32.0	2.0	33.0
32	20.710184064211045	27.0	2.0	32.0	2.0	33.0
33	20.462844928710023	26.0	2.0	32.0	2.0	33.0
34	20.250386123099666	26.0	2.0	32.0	2.0	33.0
35	19.89879604824527	26.0	2.0	32.0	2.0	33.0
36	19.700701673807437	26.0	2.0	32.0	2.0	33.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1	1	-1.2635939174571256
1	2	-4.106672923898593
1	3	-3.8382881141094316
1	4	-3.3213482256214384
1	5	-3.158098830654218
1	6	-3.0643335981963773
1	7	-2.8367846301730886
1	8	-3.0397687166843035
1	9	-2.5858909987781686
1	10	-2.4927309632315833
1	11	-2.288623013945532
1	12	-1.925347520965321
1	13	-1.8437853053005995
1	14	-1.990343074705475
1	15	-2.1385852653894304
1	16	-1.9114637167282176
1	17	-2.1898555563612874
1	18	-1.9756228735184571
1	19	-2.057064239796542
1	20	-2.024825094062873
1	21	-2.049944255955225
1	22	-2.371354663572653
1	23	-2.1164250034024867
1	24	-2.111311571555113
1	25	-1.7791485497641233
1	26	-2.5969692305226033
1	27	-2.3249406763040277
1	28	-2.5417147086959737
1	29	-2.254211915235448
1	30	-1.9761286354497614
1	31	-2.4205591653639686
1	32	-2.445068677581798
1	33	-2.3048211362694424
1	34	-2.1545948612988752
1	35	-2.5519632816170734
1	36	-1.9576785161421775
2	1	-0.08510439836508965
2	2	-0.11325886668955576
2	3	-0.18897675354896748
2	4	-0.08197445182932483
2	5	-0.3879933835920468
2	6	-0.05312091881150138
2	7	-0.44412710028878877
2	8	-0.20666058573320711
2	9	-0.47563616565150113
2	10	-0.4400881342098124
2	11	-0.30130523429924594
2	12	-0.24560766516027854
2	13	-0.23138259763728541
2	14	-0.16704787855038106
2	15	-0.3524882680515091
2	16	-0.48643429864462817
2	17	-0.1592165814083728
2	18	-0.2547315083121724
2	19	-0.29372413403321573
2	20	-0.4544643449296011
2	21	-0.23317011376909136
2	22	-0.2364666158755533
2	23	-0.4118719892349141
2	24	-0.19242259905598047
2	25	-0.4117987510285275
2	26	-0.42308518193996036
2	27	-0.48831000930146473
2	28	-0.5602854533251964
2	29	-0.4805386735316759
2	30	-0.36648506593202157
2	31	-0.6455788773884663
2	32	-0.516801907093015
2	33	-0.7832137038274318
2	34	-0.5834319990802008
2	35	-0.5691130155729027
2	36	-0.6908071497798893
3	1	0.02097582921240715
3	2	-0.3043384582533193
3	3	-0.3169669224010221
3	4	-0.26202457034840165
3	5	-0.5479856598206609
3	6	-0.4479229128810047
3	7	-0.31034329148002016
3	8	-0.6201014979796788
3	9	-0.3768791277352683
3	10	-0.264883269462338
3	11	-0.25726000557082784
3	12	-0.18780360225268922
3	13	-0.3947153905826539
3	14	-0.3191517720873698
3	15	-0.3828353974759118
3	16	-0.37901637956477785
3	17	-0.38175158305569923
3	18	-0.2798294959076948
3	19	-0.44082541215615834
3	20	-0.5121022343674362
3	21	-0.48452488671810556
3	22	-0.4356422747389921
