##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ENCFF181QBV.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	16093701
Sequences flagged as poor quality	0
Sequence length	36
%GC	52
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	26.942774567515578	32.0	26.0	33.0	8.0	33.0
2	26.10490532910982	32.0	23.0	33.0	5.0	34.0
3	25.650259191468763	31.0	22.0	33.0	2.0	34.0
4	25.455717612747993	31.0	22.0	33.0	2.0	33.0
5	25.122790401039513	31.0	21.0	33.0	2.0	33.0
6	24.848131887127764	31.0	20.0	33.0	2.0	33.0
7	24.457615125321393	30.0	19.0	33.0	2.0	33.0
8	24.20077358216112	30.0	18.0	33.0	2.0	33.0
9	23.98813523377873	30.0	18.0	33.0	2.0	33.0
10	23.664685643159395	30.0	17.0	33.0	2.0	33.0
11	23.342191333118468	29.0	16.0	33.0	2.0	33.0
12	23.13796049771274	29.0	16.0	33.0	2.0	33.0
13	22.8595021120375	29.0	15.0	32.0	2.0	33.0
14	22.524797186178617	28.0	13.0	32.0	2.0	33.0
15	22.179949844973507	28.0	11.0	32.0	2.0	33.0
16	21.80670574158175	28.0	10.0	32.0	2.0	33.0
17	21.48092834581679	27.0	8.0	32.0	2.0	33.0
18	21.224973360695593	27.0	8.0	32.0	2.0	33.0
19	20.856015841228814	26.0	7.0	32.0	2.0	33.0
20	20.514608790109868	26.0	6.0	31.0	2.0	33.0
21	20.19489712155085	26.0	2.0	31.0	2.0	33.0
22	19.8670630826309	25.0	2.0	31.0	2.0	33.0
23	19.52911881487049	24.0	2.0	31.0	2.0	33.0
24	19.21427780968467	24.0	2.0	31.0	2.0	33.0
25	18.86999932458047	24.0	2.0	31.0	2.0	33.0
26	18.563278328583337	23.0	2.0	30.0	2.0	33.0
27	18.045820473488355	22.0	2.0	30.0	2.0	33.0
28	17.869647261372634	22.0	2.0	30.0	2.0	32.0
29	17.36860166595614	21.0	2.0	29.0	2.0	32.0
30	17.035186126547273	20.0	2.0	29.0	2.0	32.0
31	16.670943495222136	20.0	2.0	29.0	2.0	32.0
32	16.175798407091072	19.0	2.0	29.0	2.0	32.0
33	15.495147697847749	17.0	2.0	28.0	2.0	32.0
34	14.947674186316746	15.0	2.0	28.0	2.0	32.0
35	13.894493752555736	9.0	2.0	27.0	2.0	31.0
36	13.52881422365185	2.0	2.0	28.0	2.0	32.0
>>END_MODULE
>>Per tile sequence quality	fail
#Tile	Base	Mean
1	1	-24.83739696222124
1	2	-25.99094790621293
1	3	-25.534692749431166
1	4	-25.35516367368514
1	5	-25.022421062343415
1	6	-24.755522992818285
1	7	-24.349089804516264
1	8	-24.090215903316206
1	9	-23.893707959288484
1	10	-23.582428004844648
1	11	-23.243052664020567
1	12	-23.04308487903008
1	13	-22.767764651769763
1	14	-22.434537273381757
1	15	-22.081821992465294
1	16	-21.725121779114055
1	17	-21.39823334825202
1	18	-21.132452033832827
1	19	-20.77210353212225
1	20	-20.428872398961186
1	21	-20.111878561357205
1	22	-17.81159282999722
1	23	-19.451626543466492
1	24	-19.14243125439308
1	25	-18.787297114058948
1	26	-18.49093535631895
1	27	-17.96968579882235
1	28	-17.798721028921637
1	29	-17.29707501290339
1	30	-16.966076069340737
1	31	-16.59211289293583
1	32	-16.114905246062023
1	33	-15.436420341558792
1	34	-14.898170272245387
1	35	-13.85344193795569
1	36	-13.479678968764174
2	1	-0.4228208032728986
2	2	-2.224408120097287
2	3	-2.313135139619071
2	4	-2.7048706400315865
2	5	-2.3137025559087583
2	6	-2.1196097549474615
2	7	-2.6057510334450313
2	8	-2.7803856815773393
2	9	-2.530648325429503
2	10	-3.1039070695537276
2	11	-3.3571847406322526
2	12	-3.2466375344587526
2	13	-3.234866337468514
2	14	-3.5294560094097918
2	15	-3.1398849493863246
2	16	-3.5989662598100836
2	17	-3.8298084796640204
2	18	-3.649762166151117
2	19	-2.867626461250399
2	20	-2.9613477780923567
2	21	-3.8012628885881874
2	22	-3.1059798663034
2	23	-3.9897813377387426
2	24	-4.071801080989662
2	25	-3.9453540290489784
2	26	-3.6995028144785778
2	27	-3.7558014413817133
2	28	-3.9707348045243194
2	29	-4.332964083050211
2	30	-4.4277400171384524
2	31	-4.319198869613977
2	32	-4.312899324969642
2	33	-4.46536119105429
2	34	-4.249931495132222
2	35	-4.38301719020631
2	36	-4.031971881579111
3	1	0.7010759261111268
3	2	0.7708325164249139
3	3	0.8608015425289999
3	4	0.7566896175463391
3	5	0.6940593845839587
3	6	0.741805158748388
3	7	0.8258555440385074
3	8	0.7664151387046836
3	9	0.5192140713163234
3	10	0.41411073695763534
3	11	0.4467700224015836
3	12	0.4983894955144912
3	13	0.44901941429776215
3	14	0.3545081480416101
3	15	0.4371238418801049
3	16	0.3112517938759858
3	17	0.2651137491489983
3	18	0.2553910557955419
3	19	0.09709734230087363
3	20	0.31232264597444725
3	21	-0.23684819944319102
3	22	-0.11334674052807969
3	23	-0.07459229522748245
3	24	0.019033404339005244
3	25	0.11050468336636143
3	26	0.130208680601136
