##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	ENCFF388MXW.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	19724714
Sequences flagged as poor quality	0
Sequence length	36
%GC	50
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	28.90969318997477	33.0	31.0	33.0	16.0	33.0
2	28.487256190381263	33.0	29.0	33.0	13.0	34.0
3	27.948846051709545	32.0	28.0	33.0	10.0	34.0
4	27.8068265527196	32.0	28.0	33.0	9.0	34.0
5	27.670731600975305	32.0	28.0	33.0	8.0	34.0
6	27.54428332902571	32.0	27.0	33.0	8.0	34.0
7	27.42775793859419	32.0	27.0	33.0	7.0	34.0
8	27.24985406632512	32.0	27.0	33.0	7.0	34.0
9	27.090530995785286	32.0	27.0	33.0	4.0	34.0
10	26.935521042282286	32.0	26.0	33.0	2.0	34.0
11	26.76421630245184	32.0	26.0	33.0	2.0	33.0
12	26.621225636021897	32.0	26.0	33.0	2.0	33.0
13	26.464913559709917	32.0	26.0	33.0	2.0	33.0
14	26.286086530836393	31.0	25.0	33.0	2.0	33.0
15	26.12152764293566	31.0	25.0	33.0	2.0	33.0
16	25.896737919748798	31.0	24.0	33.0	2.0	33.0
17	25.739686567825522	31.0	24.0	33.0	2.0	33.0
18	25.554926727961682	31.0	24.0	33.0	2.0	33.0
19	25.33099455840019	31.0	23.0	33.0	2.0	33.0
20	25.14322022615892	30.0	23.0	33.0	2.0	33.0
21	25.00115266563561	30.0	22.0	33.0	2.0	33.0
22	24.878436310914317	30.0	22.0	33.0	2.0	33.0
23	24.54706851516326	30.0	21.0	32.0	2.0	33.0
24	24.43455301810713	30.0	21.0	32.0	2.0	33.0
25	24.31654684574894	30.0	21.0	32.0	2.0	33.0
26	24.150035229915122	30.0	20.0	32.0	2.0	33.0
27	23.971482780434737	29.0	20.0	32.0	2.0	33.0
28	23.79274122808574	29.0	20.0	32.0	2.0	33.0
29	23.60589111710314	29.0	19.0	32.0	2.0	33.0
30	23.420474892563714	29.0	19.0	32.0	2.0	33.0
31	23.26072626452277	29.0	19.0	32.0	2.0	33.0
32	23.056733496870983	28.0	18.0	32.0	2.0	33.0
33	22.78791129747179	28.0	18.0	32.0	2.0	33.0
34	22.48498077082385	28.0	17.0	31.0	2.0	33.0
35	22.070007960571697	28.0	16.0	31.0	2.0	33.0
36	21.81612311336935	28.0	2.0	31.0	2.0	33.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1	1	-0.6904018872404478
1	2	-0.8769320337989726
1	3	-0.9795290691650713
1	4	-1.3045223290948407
1	5	-0.8506728588053498
1	6	-0.8559874091063406
1	7	-1.3309396119708126
1	8	-1.1239275257150005
1	9	-0.8605867535415044
1	10	-1.0426600781009192
1	11	-1.308375013675576
1	12	-0.9437622144614686
1	13	-1.1874332361838675
1	14	-1.2446462421849063
1	15	-1.1284391036405736
1	16	-1.560520081980652
1	17	-1.4346828419447917
1	18	-0.903407949490461
1	19	-1.4000474626628439
1	20	-1.2144395441442768
1	21	-1.1150346205975197
1	22	-1.327520199684269
1	23	-1.2232884625151463
1	24	-0.942680254000301
1	25	-1.1396279270321834
1	26	-1.2083816904953721
1	27	-1.096913473345225
1	28	-1.4626943316719867
1	29	-1.318014467978724
1	30	-1.5317513152286892
1	31	-2.0188398245721686
1	32	-1.7169195232509793
1	33	-1.3406539585050652
1	34	-1.6097895619265934
1	35	-1.1784454004717837
1	36	-1.331075120859957
2	1	-0.6831023030973817
2	2	-1.076060277170793
2	3	-0.9967062657309462
2	4	-1.0429596144160485
2	5	-0.8844199520315108
2	6	-0.9548857739656924
2	7	-0.9903702792154654
2	8	-0.7773299664866116
2	9	-0.7410259105862771
2	10	-0.7558793783444813
2	11	-0.6706753968370442
2	12	-0.7379492637508029
2	13	-0.7153813844816845
2	14	-0.9368712880136627
2	15	-0.714263874313108
2	16	-0.8602575080025687
2	17	-1.0855809110754961
2	18	-0.8742583805930337
2	19	-0.743958896524326
2	20	-1.0534046408163178
2	21	-0.8430042138144955
2	22	-0.899474424195585
2	23	-0.7730574359877345
2	24	-0.9516896456809576
2	25	-1.5049953928397066
2	26	-0.8161128823369346
2	27	-0.9328959353505226
2	28	-0.7259969318799158
2	29	-0.6922865805833744
2	30	-1.0220514155192753
2	31	-0.7372763935320492
2	32	-1.036712219304377
2	33	-0.9658093997285384
2	34	-1.2876978052249441
2	35	-0.8511904695179915
2	36	-0.9271805490419815
3	1	-0.5981282409711284
3	2	-0.8081117656308159
3	3	-0.8473221047499386
3	4	-0.8251087037711322
3	5	-0.7027483317453616
3	6	-0.7606894845061447
3	7	-0.8992118222518606
3	8	-0.99544073812352
3	9	-0.813818668755669
3	10	-1.0666615506562458
3	11	-0.762705695775491
3	12	-0.9070720650411666
3	13	-0.9159525593130446
3	14	-0.9395777374630043
3	15	-0.7929988984555116
3	16	-0.8603827086946403
3	17	-0.9718222267845285
3	18	-0.9271711236864064
3	19	-0.81019996739645
3	20	-0.8734731061192171
3	21	-0.6261030477972653
3	22	-1.033354473400383
3	23	-0.6361163318771439
3	24	-0.9572238130425674
3	25	-0.9964439073474054
3	26	-0.8930439407149571
3	27	-0.948363247397392
3	28	-1.0585181362400924
3	29	-1.012481433666391
3	30	-1.4912388389149989
3	31	-1.1873603800111177
3	32	-1.1133583765519965
3	33	-0.9542968344015996
3	34	-0.9467042422098579
3	35	-1.0525724625794624
3	36	-1.9129259587209013
4	1	-0.648751044029801
4	2	-0.8571655011779988
4	3	-1.1478539635770986
4	4	-0.8877768552617766
4	5	-0.8744221472666851
4	6	-0.804132262987654
4	7	-0.9085969533269775
4	8	-0.9901297722246127
4	9	-0.9909210193599449
4	10	-0.8936869909166987
4	11	-1.0751121488957196
4	12	-0.8822753731602049
4	13	-1.0214307488422492
4	14	-0.9632990531244339
4	15	-1.0363659774509415
4	16	-1.081281941762395
4	17	-1.3549787501437827
4	18	-1.490722691009541
4	19	-1.5804565922265112
4	20	-0.9811642518448807
4	21	-1.1512722338521932
4	22	-1.1122226582197712
4	23	-0.7127502475480014
4	24	-1.354199507926456
4	25	-1.1146847926968988
4	26	-1.012366720502893
4	27	-0.9052946981886869
4	28	-1.0510132213638528
4	29	-1.2560049128012238
4	30	-1.0408235193469046
4	31	-1.175831900822466
4	32	-0.8555212366406764
4	33	-1.0089540438207933
4	34	-0.9951686426209356
4	35	-0.9619342347704496
4	36	-1.2613574943186343
5	1	-0.41130308250326664
5	2	-0.5695232108038617
5	3	-0.6288323148465977
5	4	-0.7284944413970003
5	5	-0.5824139718828079
5	6	-0.6851782275568254
5	7	-0.6374413056106896
5	8	-0.7184984698951915
5	9	-0.5330532749435086
5	10	-0.5803261497903058
5	11	-0.5867278277760555
5	12	-0.38124547625779215
5	13	-0.7260116394172336
5	14	-0.553867034097312
